date,clean_data,sentiment_score,pred_label,prob_positive,prob_neutral,prob_negative
2024-01-01 11:00:32,Takım: Galatasaray Transfer oyuncu: Nicolò Zaniolo,0.9626418948173523,neutral,0.03162325918674469,0.9626418948173523,0.00573486415669322
2024-01-01 20:55:38,Nicolo Zaniolo X Big Boy ,0.8580477833747864,neutral,0.1339629739522934,0.8580477833747864,0.00798921287059784
2024-01-01 11:30:15,"Premier League goals for Aston Villa in 2023  21 - Ollie Watkins 11 - Douglas Luiz 7 - Leon Bailey 6 - John McGinn 5 - Jacob Ramsey 4 - Emiliano Buendia, Moussa Diaby 2 - Bertrand Traore, Pau Torres, Jhon Duran, Matty Cash 1 - Tyrone Mings, Leander Dendoncker, Nicolo Zaniolo,",0.9808329343795776,neutral,0.01625886559486389,0.9808329343795776,0.002908111782744527
2024-01-01 22:40:43,yönetim ve teknik ekibe mail atmak yerine istanbula gelip geri dönmüş topçuoğlu topçu diyoruz inanmıyosunuz aq QT : Normalde duyum vermem ama bunu söylemek istedim bilin istedim. Nicolo Zaniolo aston villada aldığı süreden hiç memnun değil yakın zamanda istanbula gelme sebebi de bu. Yönetim ve okan buruk ile görüşüp geri gelmek istediğini bildirecek yönetim ve teknik ekip son kararı verecek.,0.9210139513015747,negative,0.014342915266752243,0.06464321911334991,0.9210139513015747
2024-01-01 14:21:49,"2023'de attığımız en güzel,en anlamlı GOL bu GOL sadece 30 milyon GALATASARAY'lıyı mutlu etmedi,direk 50 milyon insana etki etti. Sevinciyle , üzüntüsüyle Galatasaray nicolozaniolo",0.9496349692344666,positive,0.9496349692344666,0.02706584520637989,0.02329915203154087
2024-01-01 11:37:49," Nicolo Zaniolo, 2023'un en güzel gollerinden birine imza attı ve ağızlarda tat bırakarak Galasaray'dan ayrıldı...",0.9740162491798401,positive,0.9740162491798401,0.014407683163881302,0.011576103046536446
2024-01-01 19:08:03,Görev Seni Bekler Evlat Nicolo Zaniolo ,0.9571518301963806,neutral,0.03506188094615936,0.9571518301963806,0.007786313537508249
2024-01-01 17:48:25,2024 geldi sen nerdesin balım QT : Nicolo Zaniolo baba yuvaya dönme vaktin geldi.,0.7061655521392822,neutral,0.04960285872220993,0.7061655521392822,0.24423161149024963
2024-01-01 11:46:17,Nicolo Zaniolo-Stronda Terra,0.9781360030174255,neutral,0.00981212593615055,0.9781360030174255,0.01205181609839201
2024-01-01 09:50:11," Nicolo Zaniolo, 2023'un en güzel gollerinden birine imza attı ve ağızlarda tat bırakarak Galasaray'dan ayrıldı...",0.9740162491798401,positive,0.9740162491798401,0.014407683163881302,0.011576103046536446
2024-01-01 16:15:35,Galatasaray'ın Big Boyu Nicolo Zaniolo Gelmeli mi? Nicolo Zaniolo ,0.9770941138267517,neutral,0.014359167777001858,0.9770941138267517,0.008546710014343262
2024-01-01 18:10:48,"Görev Seni Çağırıyor Nicolo Zaniolo  Uzun Boyundan mı, Serin suyundan mı, Seni Sen Yapıyor...",0.9380442500114441,neutral,0.020741326734423637,0.9380442500114441,0.04121439531445503
